Source Sentence,Reference Translation,Model Translation,BLEU Score,METEOR Score
mr president three million jobs have been lost in comparison with several million euro invested in support policies,senhor presidente perderamse tres milhoes de empregos em contraste com varios milhoes de euros investidos em politicas de apoio,senhor presidente os estadosmembros tem de ser mais de uma maior parte dos paises em que os estadosmembros sao os seus proprios,0.02310128340501537,0.19274611398963729
a pragmatic approach to address real common problems has more chance of success,uma abordagem pragmatica para resolver os verdadeiros problemas comuns tem maior probabilidade de sucesso,uma estrategia de lisboa e um importante passo para a nossa politica de vizinhanca,0.018798317647335087,0.10714285714285715
mr president commissioner ladies and gentlemen the issue of animal nutrition has become something of a regular feature on this houses agenda,senhor presidente senhor comissario senhoras e senhores deputados o tema de alimentacao animal tornouse um tema de sucesso na agenda desta camara,senhor presidente senhor comissario caros colegas a comissao esta a ser um pouco mais importante que a sua resposta a favor da lei,0.1090009697802911,0.2190045248868778
i have heard speakers saying that the only solution was to integrate the social protocol into the treaty and establish a social europe where decisions would be taken by majority voting,ouvi discursos a explicarem que a unica solucao consistia em integrar o protocolo social no tratado e criar uma europa social em que se tomassem as decisoes por maioria,hoje hoje a favor de um debate sobre a questao da politica de seguranca comum que se trata de uma questao de que a comissao nao pode ser tratada com a sua posicao sobre a situacao dos direitos humanos,0.015702080675779332,0.1
they must be given their place,essas regioes deverao obter o seu proprio lugar,temos de ser o direito de ser,0.028634401465295497,0.06329113924050632
all in all romania still has a huge effort to make,em suma a romenia tem de desenvolver ainda um enorme esforco,todos sabemos que os paises baixos sao muito importantes,0.0,0.0
we have solved every difficulty to everyones complete satisfaction,resolvemos todas as dificuldades para plena satisfacao de todas as pessoas,temos de ser mais longe de que os nossos esforcos,0.01909690192411307,0.045871559633027525
i would like to commend both nirj deva and jurgen schroder for constantly raising this issue,gostaria de louvar tanto nirj deva como jurgen schroder por levantarem constantemente esta questao,gostaria de agradecer a relatora e a senhora deputada haug sobre a sua resposta a que se trata de uma situacao de um pais,0.016734480530603443,0.06666666666666667
i should also like to thank the honourable members who attended the meeting with over beekeepers and who like my colleagues in the committee on agriculture and rural development fully support the demands contained in my report,gostaria de agradecer tambem aos colegas que participaram na reuniao com mais de apicultores e que apoiam tal como a colega da comissao da agricultura e do desenvolvimento rural de todo o coracao as exigencias incluidas no meu relatorio,gostaria de agradecer ao senhor comissario a senhora deputada haug sobre a sua posicao comum sobre a politica de defesa dos direitos humanos e da seguranca alimentar e a comissao europeia,0.030355150224807746,0.14397905759162302
on this basis i wish to propose to you the following package,desta forma pretendo propor o seguinte pacote,por isso gostaria de salientar que as alteracoes propostas,0.0,0.0
the common positions have improved the results of the parliamentary amendments above all with regard to labelling and the competences of the regulatory authority,as posicoes comuns melhoraram os resultados das alteracoes parlamentares sobretudo no que diz respeito a rotulagem e as competencias da autoridade reguladora,as alteracoes climaticas tem de ser tomadas medidas concretas para as alteracoes climaticas e os seus esforcos para que os estadosmembros,0.013631331322532041,0.136986301369863
our enquiries however have revealed that some countries particularly in northern europe cannot do much with this satellite data because everything is still covered in snow there when the images are captured,as nossas averiguacoes revelaram no entanto que alguns paises especialmente do norte da europa nao podem fazer grande coisa com estes dados de satelite uma vez que os locais onde as imagens foram captadas estao ainda todos cobertos de neve,no entanto estamos a falar de que os paises baixos sao os paises que nao se trata de uma situacao que nao pode ser um pais que nao e um pais que nao se encontram em causa,0.017379274237716957,0.16007556675062976
we owe it to ourselves and to the people of the european union to know where people are taken and whether people perish in the desert,temos a obrigacao para connosco e para com os cidadaos da uniao europeia de saber para onde e que elas estao a ser levadas e se estao a morrer no deserto,temos de dizer que a europa e a europa e a sua propria regiao e a sua propria regiao,0.009378224462257716,0.15100671140939595
financial support and the simplification of legislative procedures for scientific development should be a priority for the eu,o apoio financeiro e a simplificacao dos procedimentos legislativos relacionados com o desenvolvimento cientifico devem constituir uma prioridade para a ue,a cooperacao entre a comissao e a cooperacao entre a ue e a seguranca e a seguranca alimentar,0.027346825288150734,0.09661835748792272
the commission is considering putting forward proposals on origin marking and labelling,a comissao esta a ponderar apresentar propostas relativas a marca de origem e a rotulagem,a comissao e a comissao e a sua proposta de resolucao sobre a situacao de um crime,0.039567167294524315,0.2631578947368421
on the assumption that you have got a move on and i am given to understand today that you have how do you get the others to do likewise,assumindo que tomou alguma iniciativa e foime dado hoje a entender que o fez como vai conseguir que os outros facam o mesmo,em segundo lugar temos de ser muito bem como a sua resposta a que se trata de uma questao que nao e muito dificil,0.011833064662823948,0.10822510822510824
in writing the climate summit organised by the un in bali did not have any specific results but did open up the way for a new global climate agreement after,por escrito a cimeira sobre alteracoes climaticas organizada pela onu em bali nao teve resultados especificos mas abriu caminho a um novo acordo global sobre o clima para depois de,a primeira vez de a conferencia intergovernamental foi realizada em dezembro de uma serie de dois meses de maio de um ano de milhoes de euros e de um ano e de um ano,0.008186841244220632,0.08223684210526316
