Source Sentence,Reference Translation,Model Translation,BLEU Score,METEOR Score
mr president three million jobs have been lost in comparison with several million euro invested in support policies,senhor presidente perderamse tres milhoes de empregos em contraste com varios milhoes de euros investidos em politicas de apoio,senhor presidente tres milhoes de postos de trabalho perdidos em comparacao com varios milhoes de euros em apoio mutuo,0.3029913730221934,0.6389634801288936
a pragmatic approach to address real common problems has more chance of success,uma abordagem pragmatica para resolver os verdadeiros problemas comuns tem maior probabilidade de sucesso,uma abordagem pragmatica a fazer face aos verdadeiros problemas comuns tem mais oportunidade de conseguir sucesso,0.23578316044531802,0.6059815684228832
mr president commissioner ladies and gentlemen the issue of animal nutrition has become something of a regular feature on this houses agenda,senhor presidente senhor comissario senhoras e senhores deputados o tema de alimentacao animal tornouse um tema de sucesso na agenda desta camara,senhor presidente senhor comissario senhoras e senhores deputados a questao da alimentacao animal tornouse algo de caracter excepcional diario sobre este ponto de ordem do conjunto do hemiciclo,0.3021375397356768,0.5668429596271667
i have heard speakers saying that the only solution was to integrate the social protocol into the treaty and establish a social europe where decisions would be taken by majority voting,ouvi discursos a explicarem que a unica solucao consistia em integrar o protocolo social no tratado e criar uma europa social em que se tomassem as decisoes por maioria,ouvio os oradores que dizem que a unica solucao era a integrar o protocolo social no tratado e criar uma europa social que se considerasse a maioria das decisoes tomadas por maioria,0.43599218613896507,0.6969113014944317
they must be given their place,essas regioes deverao obter o seu proprio lugar,tem de ser dada a sua sede,0.0,0.0
all in all romania still has a huge effort to make,em suma a romenia tem de desenvolver ainda um enorme esforco,todos nos a romenia continua a registarse enormes esforcos para fazer,0.03986357128268015,0.2869318181818182
we have solved every difficulty to everyones complete satisfaction,resolvemos todas as dificuldades para plena satisfacao de todas as pessoas,resolvemos todos os problemas de satisfacao por toda a gente a chegar a bom ritmo,0.017395797375642234,0.17543859649122806
i would like to commend both nirj deva and jurgen schroder for constantly raising this issue,gostaria de louvar tanto nirj deva como jurgen schroder por levantarem constantemente esta questao,gostaria de louvar o meu reconhecimento de ambos os intervenientes no que se refere ao parto de uma questao de longo prazo,0.04620256681003074,0.13513513513513514
i should also like to thank the honourable members who attended the meeting with over beekeepers and who like my colleagues in the committee on agriculture and rural development fully support the demands contained in my report,gostaria de agradecer tambem aos colegas que participaram na reuniao com mais de apicultores e que apoiam tal como a colega da comissao da agricultura e do desenvolvimento rural de todo o coracao as exigencias incluidas no meu relatorio,gostaria tambem de agradecer aos senhores deputados que hoje em dia com os meus colegas que me antecederam a reuniao da comissao da agricultura e do desenvolvimento rural plenamente apoiada por nao apoiar as exigencias contidas no meu relatorio,0.2673172753565273,0.5717948717948719
on this basis i wish to propose to you the following package,desta forma pretendo propor o seguinte pacote,por esta base em conformidade gostaria de propor a seguinte questao,0.022416933501922302,0.13513513513513514
the common positions have improved the results of the parliamentary amendments above all with regard to labelling and the competences of the regulatory authority,as posicoes comuns melhoraram os resultados das alteracoes parlamentares sobretudo no que diz respeito a rotulagem e as competencias da autoridade reguladora,as posicoes comuns tem melhorado os resultados das alteracoes parlamentares sobretudo no que respeita a rotulagem e as competencias da autoridade reguladora,0.6888074582865503,0.8619365399143792
our enquiries however have revealed that some countries particularly in northern europe cannot do much with this satellite data because everything is still covered in snow there when the images are captured,as nossas averiguacoes revelaram no entanto que alguns paises especialmente do norte da europa nao podem fazer grande coisa com estes dados de satelite uma vez que os locais onde as imagens foram captadas estao ainda todos cobertos de neve,mas temos de constatar que alguns paises em particular na europa nao evitarao alguns dos seus sistemas de satelites pois tudo isto continua a ser abrangidos por epidemias que perderam a vida,0.03180324674860878,0.1621173469387755
we owe it to ourselves and to the people of the european union to know where people are taken and whether people perish in the desert,temos a obrigacao para connosco e para com os cidadaos da uniao europeia de saber para onde e que elas estao a ser levadas e se estao a morrer no deserto,nos temos de nos conformar e para os povos da uniao europeia sabem onde pessoas que estao a ser prosseguidos e se as pessoas estao a ser detidas,0.07494693893158082,0.4950959603706678
financial support and the simplification of legislative procedures for scientific development should be a priority for the eu,o apoio financeiro e a simplificacao dos procedimentos legislativos relacionados com o desenvolvimento cientifico devem constituir uma prioridade para a ue,apoio financeiro e a simplificacao dos processos legislativos destinados ao desenvolvimento de um processo legislativo,0.23321503395334311,0.3442861519607843
the commission is considering putting forward proposals on origin marking and labelling,a comissao esta a ponderar apresentar propostas relativas a marca de origem e a rotulagem,a comissao esta a considerar propostas de resolucao sobre origem e rotulagem,0.21729783206186784,0.468211976148484
on the assumption that you have got a move on and i am given to understand today that you have how do you get the others to do likewise,assumindo que tomou alguma iniciativa e foime dado hoje a entender que o fez como vai conseguir que os outros facam o mesmo,no pressuposto de que o senhor comissario tracou e eu proprio tive oportunidade de compreender hoje que o senhor comissario se pode fazer com que outros colegas,0.020876149875884896,0.17094017094017094
in writing the climate summit organised by the un in bali did not have any specific results but did open up the way for a new global climate agreement after,por escrito a cimeira sobre alteracoes climaticas organizada pela onu em bali nao teve resultados especificos mas abriu caminho a um novo acordo global sobre o clima para depois de,por escrito a cimeira climatica organizada por em bali no passado mes de bali nao ter quaisquer resultados concretos mas expressei a proposito de que se trata de um novo acordo de comercio mundial apos,0.1258273118584677,0.46055327868852464
indeed nature abhors a vacuum so when the european commission does not do its job it is parliament that has to do it and in that respect i must say and you have said it too commissioner that the work done by mr savary is very interesting since in fact he has provided you with all the material needed to draft the action plan,efectivamente a natureza tem horror do vazio assim quando a comissao europeia nao faz o seu trabalho cabe ao parlamento colmatar esse vazio e neste caso devo dizer que o trabalho desenvolvido como o senhor afirmou tambem senhor comissario pelo nosso colega savary e muito interessante pois de facto forneceu tudo o que era necessario para constituir o plano de accao,com efeito a natureza lembrounos do parlamento quando a comissao europeia nao faz o seu trabalho e o parlamento que tem o seu dever e o senhor comissario telas tambem dizervos senhor comissario que o trabalho desenvolvido pelo colega savary savary e que o trabalho,0.2142614337159251,0.4286184775258656
we will take the negotiating process as an opportunity to further set out those things that as i have learned from other members are the necessary practical details of what socialists and greens have long demanded,vamos tomar o processo de negociacao como uma oportunidade de explanar melhor os aspectos que tal como me dizem outros deputados constituem os pormenores praticos necessarios daquilo que os socialistas e os verdes exigem ha muito,vamos tomar o processo de negociacao como uma oportunidade para se candidatarem aos outros colegas que me aprendi a fazer pormenores concretos do que socialistas e os verdes ha muito que exortam,0.3210653264716018,0.5011235955056179
existing directives on the working environment are not working well principally because employers oppose them and because trade unions are too weak and often set minimum levels that tend to commit the social partners to agreements affording levels of protection which are far too low,as directivas existentes sobre as condicoes de trabalho nao estao a funcionar bem principalmente porque os empregadores se opoem a elas e porque os sindicatos sao demasiado fracos estabelecendo frequentemente niveis minimos que tendem a vincular os parceiros sociais a acordos que asseguram niveis de proteccao demasiado baixos,as directivas existentes no ambiente nao estao a funcionar convenientemente principalmente porque os patroes se oponham a estas questoes e porque a uniao sao demasiado fracos e muitas vezes que sao aplicados de forma social de forma a que os parceiros sociais possam ser prejudicados,0.14150694712367198,0.4387164601242975
today we are also able together with commissioner patten to be delighted that the hierocracy in iran is to allow comprehensive inspections and to refrain from producing uranium for use in nuclear weapons,podemos congratularnos hoje juntamente com o senhor comissario patten por a hierocracia no irao ter autorizado a realizacao de extensas inspeccoes e ter indicado que ira suspender a producao de uranio destinado as armas nucleares,hoje somos capazes de colaborar convosco com o senhor comissario chris brittan que a chave do conflito no irao e permitir que sejam realizados controlos nucleares nucleares,0.09136205743525648,0.29889538661468484
this could also lead on to other questions such as how to calculate the carbon footprint all of us leave through energy consumption,este problema pode levar a outras questoes como a forma de calcular a pegada de carbono que todos nos deixamos devido ao consumo de energia,isto poderia tambem conduzir a outras questoes como como a de forma como se observa a importancia do carbono todos nos regressam ao consumo de energia,0.22743363869750483,0.5330677290836654
i would like to know why these issues have been railroaded through in such a fashion without proper democratic control and proper public debate,gostaria de saber por que e que estas materias foram introduzidas a pressa sem o necessario controlo democratico e o devido debate publico,gostaria de saber por que razao esses assuntos foram abordados atraves de uma forma de controlo democratico sem o seu controlo democratico e apropriado o debate publico,0.2147607499133801,0.518816500959358
too often we do not take heed of our own criticism and we lack the tools to find out what has become of our indictments,esquecemos com demasiada frequencia as nossas proprias criticas e faltamnos os instrumentos para apurar o impacto das nossas censuras,tambem muitas vezes nao demos resposta aos nossos proprios actos e nao temos de encontrar as ferramentas que se tornou possivel,0.010862721615727716,0.052083333333333336
the proposal does not aim to be a complete codification of all of the courts case law concerning equal treatment in the area of social security nor does it aim to introduce new law going beyond the existing case law,a proposta nao pretende ser uma codificacao exaustiva de toda a jurisprudencia do tribunal relativa a igualdade de tratamento no dominio da seguranca social nem visa introduzir nova legislacao que va alem da jurisprudencia existente,a proposta nao visa ser completa completa da jurisprudencia do tribunal de justica relativo a igualdade de tratamento no dominio da seguranca social quer quer trate o objectivo de introduzir novas juridicas no caso de aplicacao do processo de aplicacao,0.28285528465878046,0.43463958353294374
i would urge the commission to look into other funding options especially in the face of this crisis with regard to a proposal for a consumer levy,gostaria de pedir explicitamente a comissao que apure se existem tambem outras possibilidades de financiamento seguramente no quadro desta crise eventualmente no quadro de uma proposta para uma taxa de consumo,exorto a comissao a olhar para o futuro para alem de outras opcoes em particular no que se refere a esta crise com a proposta de um imposto de um preco de consumo,0.02310749092496425,0.26908359497645207
clearly however this would have corresponding consequences for the budget consideration should be given to whether there are not other options in addition to the agrienvironmental schemes for utilising the appropriations saved through modulation and crosscompliance in ways which would not affect competition,no entanto e claro que esta atitude teria as respectivas consequencias a nivel orcamental sendo de reflectir se adicionalmente as medidas agroambientais nao existiriam outras opcoes para uma aplicacao neutra em termos de concorrencia das verbas economizadas na modulacao e na cross compliance,no entanto este aspecto teria sido possivel considerar que a avaliacao orcamental deveria ser dada a possibilidade de se contratar alem das supostas infraestruturas ferroviarias para restabelecer a modulacao dos recursos aquaticos atraves da modulacao e da comodalidade que nao reflectem a concorrencia,0.017534731063172864,0.22306597057427624
it is not enough to have good delegational powers good information requirements and to solve home host issues,nao basta dispor de poderes de delegacao suficientes de solidas exigencias de informacao e resolver questoes entre o pais de origem e o pais de acolhimento,nao basta ter poderes efectivos e informacao boas recomendacoes para os seus cidadaos e para resolver assuntos internos,0.02003418008225492,0.21112351190476192
in this we are guided by our principles of the rule of law,ao fazelo devemos nortearnos pelos principios do nosso estado de direito,estamos a pensar nos nossos principios de estado de direito,0.10156297514737136,0.40917431192660547
in our opinion a europe which builds its future with constancy continuity and responsibility is the best guarantee that the founding fathers blueprint is implemented faithfully that the endeavours of all those who have worked on it over the past years are at the basis of its success and that europe is built on solid foundations,acreditamos que uma europa que construa o seu futuro com firmeza continuidade e responsabilidade e a melhor garantia para o projecto dos pais fundadores para que esse projecto se realize tambem por forca do trabalho de todos quantos nele trabalharam nos ultimos cinquenta anos e se realize com bases concretas e solidas,na nossa opiniao uma europa que reforca o seu futuro com a continuidade da estabilidade e responsabilidade e responsabilidade e a melhor garantia de que a resolucao de pais se concretize correctamente que os esforcos de todos os anos estao a trabalhar durante o passado,0.18057889229977347,0.34089108509564187
that means that if a country has not replied we do not just assume that the answer is no,significa isso que se um pais no respondeu no vamos logo assumir que a resposta e no,isto significa que se nao se trata de um pais que nao se trata apenas de uma solucao,0.03575297164449809,0.2493502274204029
secondly mrs mcnally and others pointed out the closer and clearer link between the environment and poverty,em segundo lugar a senhora deputada mcnally e outros chamaram a atencao para a ligacao mais estreita e mais clara que existe entre o ambiente e a pobreza,em segundo lugar a senhora deputada nicholson senhoras e outros intervenientes a saber a ligacao entre o ambiente e a pobreza,0.36612903823600823,0.6090218892987058
in the light of these considerations we have abstained overall,a luz destas consideracoes abstivemonos em termos gerais,a luz destes conceitos abstivemonos de partida,0.0670144447096575,0.3234880450070324
i look to the rapporteurs and the commission to explain how it is possible to increase the european budget without increasing the tax burden on taxpayers except by reducing the national budgets,espero que os relatores e a comissao expliquem como e possivel aumentar o orcamento europeu sem aumentar o onus fiscal para os contribuintes senao por via da reducao dos orcamentos nacionais,aguardo com expectativa os relatores e a comissao para que se possa aumentar o orcamento europeu sem aumentar o imposto de contribuintes sem aumentar o peso dos contribuintes excepto atraves dos orcamentos nacionais,0.33012252714970636,0.5110893478949036
free movement the right to live in the place of ones choice and the right to work where one can all call for new european rules and the modernization of those that predate the single european act,a livre circulacao o direito de habitarmos onde quisermos e trabalharmos onde pudermos impoem novas regras europeias e a modernizacao das anteriores ao acto unico,livre circulacao o direito de viver na escolha de optar pelo caminho a trabalhar em prol do seu proprio pais e a modernizacao desses elementos que todos os que colocam a comunidade europeia,0.1448218930239774,0.32112403100775194
i think that awarenessraising has a very important role to play in that respect,julgo que as campanhas de sensibilizacao tem um papel muito importante a desempenhar nesse contexto,penso que a alta velocidade que tem um papel muito importante para desempenhar esse papel,0.27668736912821895,0.42083333333333334
our car manufacturers lead the world for environmental awareness technical standards and innovation,os nossos fabricantes de automoveis sao lideres mundiais no que respeita a consciencia ambiental normas tecnicas e inovacao,os nossos fabricantes de automoveis automoveis origina a concorrencia para a proteccao tecnica dos dispositivos tecnicos e inovacao,0.23909453161355018,0.45713305898491086
this means that in the coming weeks over a million people living in refugee camps in sudan will have no access to basic aid such as clean water food or medical care,isto significa que nas proximas semanas mais de um milhao de pessoas que vivem em campos de refugiados no sudao nao terao acesso a ajuda essencial como por exemplo agua limpa alimentos e cuidados medicos,isto significa que nas proximas semanas de que as pessoas se vivem nas campos de refugiados no sudao nao no do chade deixara de acesso a ajuda alimentar tais como agua alimentar ou medico,0.32666298200684935,0.5259694184301895
personally i must say that i would simply have rejected this uninspiring proposal by the commission but majority situations being what they are in the house i was unable to do so,pessoalmente devo dizer que teria gostado de rejeitar pura e simplesmente esta proposta pouco inspirada da comissao europeia mas sendo as maiorias o que sao neste parlamento nao consegui atingir esse objectivo,pessoalmente devo dizer que queria apenas afirmar que esta proposta de ccbe nao me parece que a maioria das situacoes de grupo nao estava a ser a maioria das pessoas que estao a ser feitas,0.08700223397019134,0.2750556507944631
second question are the selective discounts of the democracy clause permissible,segunda questao sao admissiveis as derrogacoes selectivas a clausula relativa a democracia,segunda pergunta sao as taxas de uma clausula selectiva do que se limita a democracia,0.036787632499277766,0.38991206238593
finally i should emphasise that if as i assume we all want this proposal to be adopted soon by the council so as to keep to the timetable called for by mrs thyssen involving entry into force on january i am unable to accept the amendments proposed,cumpreme finalmente salientar que se como presumo todos nos desejamos uma adopcao rapida desta proposta por parte do conselho para permitir o cumprimento dos prazos solicitados pela senhora deputada thyssen ou seja a entrada em vigor em de janeiro de nao posso aceitar as alteracoes sugeridas,por ultimo gostaria de frisar que se trata de uma proposta de resolucao aprovada pelo conselho pois a fim de manter o calendario previsto para a senhora deputada thyssen que se comprometam a adesao a partir de de janeiro nao posso aceitar a entrada em,0.05919889315863579,0.36100217864923756
first the agency s headquarters would be established in thessaloniki and a joint declaration would be drawn up listing the general service departments to be located there,em primeiro lugar a sede da agencia seria estabelecida em salonica e seria elaborada uma declaracao conjunta contendo a lista dos departamentos de servicos gerais que ai funcionariam,a primeira vez a agencia das atribuicoes da agencia estaria em salonica e uma declaracao conjunta da comissao europeia sera efectuada por uma forma de servico geral a localizacao de servicos,0.06608165002747285,0.36120926580290535
surveillance of budgetary positions and surveillance and coordination of economic policies,supervisao das situacoes orcamentais e supervisao e coordenacao das politicas economicas,vigilancia das posicoes orcamentais e a coordenacao e coordenacao das politicas economicas,0.37700638045494705,0.7017173423423423
overall the proposal falls short of our initial intentions but it does not however involve any obligation to harmonise family reunification requirements downwards and we see it as a first step on a path that we wish were faster but which we shall continue to tread with conviction and persistence,em suma a proposta fica aquem das nossas intencoes iniciais contudo nao engendra nenhuma obrigacao de nivelar por baixo as condicoes de reagrupamento familiar e nos concebemolas como uma primeira etapa de um caminho que desejavamos mais rapido mas que continuaremos a trilhar com conviccao e persistencia,a proposta original da proposta fica aquem das nossas intencoes iniciais mas nao insiste qualquer obrigacao de harmonizar os requisitos de adesao a fim de nao obstante e que o primeiro passo no sentido de uma direccao que esperamos que seja mais rapida mas que,0.17038364866162592,0.3822412155745489
we have not even mentioned the workers in these countries who risk their lives as a result of inadequate safety precautions,nem sequer nos referimos aos trabalhadores nesses paises que arriscam a vida em resultado da adopcao de medidas de seguranca inadequadas,nao fomos ainda mencionados os trabalhadores nessas condicoes que os seus riscos para os efeitos de seguranca e de seguranca alimentar,0.024289783953423513,0.17714285714285713
