Source Sentence,Reference Translation,Model Translation
mr president three million jobs have been lost in comparison with several million euro invested in support policies,senhor presidente perderamse tres milhoes de empregos em contraste com varios milhoes de euros investidos em politicas de apoio,senhor presidente a europa tem de ser um pouco mais importante para a europa e a sua propria politica de vizinhanca
a pragmatic approach to address real common problems has more chance of success,uma abordagem pragmatica para resolver os verdadeiros problemas comuns tem maior probabilidade de sucesso,um acordo de trabalho e um dos principais objectivos de um modo de uma solucao
mr president commissioner ladies and gentlemen the issue of animal nutrition has become something of a regular feature on this houses agenda,senhor presidente senhor comissario senhoras e senhores deputados o tema de alimentacao animal tornouse um tema de sucesso na agenda desta camara,senhor presidente senhor comissario senhoras e senhores deputados a europa e a europa que se trata de um acordo de trabalho que se refere a um ponto de vista
i have heard speakers saying that the only solution was to integrate the social protocol into the treaty and establish a social europe where decisions would be taken by majority voting,ouvi discursos a explicarem que a unica solucao consistia em integrar o protocolo social no tratado e criar uma europa social em que se tomassem as decisoes por maioria,concordo com a minha opiniao que a comissao esta a ser um pouco mais importante para a uniao europeia e a comissao e a sua politica de lisboa
they must be given their place,essas regioes deverao obter o seu proprio lugar,sao necessarias para a situacao
all in all romania still has a huge effort to make,em suma a romenia tem de desenvolver ainda um enorme esforco,ha um exemplo de que a europa esta a ser um pouco mais importante
we have solved every difficulty to everyones complete satisfaction,resolvemos todas as dificuldades para plena satisfacao de todas as pessoas,temos de ser um pouco mais de que o seu pais
i would like to commend both nirj deva and jurgen schroder for constantly raising this issue,gostaria de louvar tanto nirj deva como jurgen schroder por levantarem constantemente esta questao,gostaria de referir a sua atencao para o seu trabalho e a sua propria politica de lisboa
i should also like to thank the honourable members who attended the meeting with over beekeepers and who like my colleagues in the committee on agriculture and rural development fully support the demands contained in my report,gostaria de agradecer tambem aos colegas que participaram na reuniao com mais de apicultores e que apoiam tal como a colega da comissao da agricultura e do desenvolvimento rural de todo o coracao as exigencias incluidas no meu relatorio,gostaria de agradecer ao senhor deputado schulz a senhora deputada van den berg em nome da comissao e a senhora deputada van orden e que a europa e a necessidade de um problema que se refere a um problema que nao se trata de um
on this basis i wish to propose to you the following package,desta forma pretendo propor o seguinte pacote,por escrito votei a favor do relatorio sobre a sua posicao
the common positions have improved the results of the parliamentary amendments above all with regard to labelling and the competences of the regulatory authority,as posicoes comuns melhoraram os resultados das alteracoes parlamentares sobretudo no que diz respeito a rotulagem e as competencias da autoridade reguladora,as alteracoes climaticas tem de ser tomadas em conta a sua posicao sobre a directiva relativa a directiva e a sua actividade e a sua actividade
our enquiries however have revealed that some countries particularly in northern europe cannot do much with this satellite data because everything is still covered in snow there when the images are captured,as nossas averiguacoes revelaram no entanto que alguns paises especialmente do norte da europa nao podem fazer grande coisa com estes dados de satelite uma vez que os locais onde as imagens foram captadas estao ainda todos cobertos de neve,a verdade que nao e possivel a sua propria europa que nao se trata de um sistema de paz e de que a europa nao se pode ser feito em que a europa nao se pode ser feito em relacao a paz
we owe it to ourselves and to the people of the european union to know where people are taken and whether people perish in the desert,temos a obrigacao para connosco e para com os cidadaos da uniao europeia de saber para onde e que elas estao a ser levadas e se estao a morrer no deserto,temos de fazer tudo o que e o que e a uniao europeia e a sua propria europa e que a europa se pode ser feito
financial support and the simplification of legislative procedures for scientific development should be a priority for the eu,o apoio financeiro e a simplificacao dos procedimentos legislativos relacionados com o desenvolvimento cientifico devem constituir uma prioridade para a ue,a proposta de directiva e a seguranca e a necessidade de uma politica de coesao social e a sua politica
the commission is considering putting forward proposals on origin marking and labelling,a comissao esta a ponderar apresentar propostas relativas a marca de origem e a rotulagem,a comissao e a comissao e a comissao e a comissao
on the assumption that you have got a move on and i am given to understand today that you have how do you get the others to do likewise,assumindo que tomou alguma iniciativa e foime dado hoje a entender que o fez como vai conseguir que os outros facam o mesmo,em primeiro lugar temos de ser muito mais longe de que o senhor comissario e que se trata de tudo o que e que o senhor comissario
in writing the climate summit organised by the un in bali did not have any specific results but did open up the way for a new global climate agreement after,por escrito a cimeira sobre alteracoes climaticas organizada pela onu em bali nao teve resultados especificos mas abriu caminho a um novo acordo global sobre o clima para depois de,no que diz respeito a comissao a comissao a fim de um dos estadosmembros e nao se trata de um sistema de accao para a politica de coesao nao e um bom trabalho
indeed nature abhors a vacuum so when the european commission does not do its job it is parliament that has to do it and in that respect i must say and you have said it too commissioner that the work done by mr savary is very interesting since in fact he has provided you with all the material needed to draft the action plan,efectivamente a natureza tem horror do vazio assim quando a comissao europeia nao faz o seu trabalho cabe ao parlamento colmatar esse vazio e neste caso devo dizer que o trabalho desenvolvido como o senhor afirmou tambem senhor comissario pelo nosso colega savary e muito interessante pois de facto forneceu tudo o que era necessario para constituir o plano de accao,com efeito o que se refere a questao da nossa posicao e a comissao nao e o conselho e o conselho e o conselho que nao se encontra em breve e que o parlamento europeu nao se encontra em vigor e que o parlamento europeu
